gene,HR,pvalue,FDR
ENSG00000154864.13,1.022750796248185,0.4689702345133932,0.6279108484816668
ENSG00000242516.2,1.0276731428813803,0.37768151616884915,0.547579656641421
ENSG00000184828.10,1.0642376915841405,0.04607086142065443,0.12077906122961922
ENSG00000142149.9,1.0672182232626406,0.031243097522634725,0.09069706318421829
ENSG00000121895.8,0.8680405894607622,4.099985715219263e-6,8.716257258973434e-5
ENSG00000159618.16,0.8517073946476822,1.1727751085380039e-7,8.47462487388823e-6
ENSG00000135426.16,0.8682638124225612,3.2148972700026745e-6,7.211173158992547e-5
ENSG00000176083.18,0.8852860466227376,3.664825346915362e-5,4.6408750342457315e-4
ENSG00000189320.9,0.9807604907365693,0.5076146216080858,0.6620830084181605
ENSG00000115461.5,0.977145143632621,0.4688156374792335,0.6279108484816668
ENSG00000196368.5,1.0654998909573852,0.03862595322485699,0.10534733807564595
ENSG00000134755.17,1.0901493883718296,0.014200767125161023,0.049568902414553695
ENSG00000227097.5,1.0068568007310401,0.8263896752977302,0.8937516012625397
ENSG00000106714.17,0.9081665451879298,0.002202302013767042,0.011263716434419983
ENSG00000175445.17,0.9967235724912601,0.9134876791453127,0.9487677265541642
ENSG00000079385.23,0.9929828561775687,0.8215401409216676,0.8910112282936213
ENSG00000163564.15,0.8656960554451067,5.558012120830075e-7,2.2976179031728954e-5
ENSG00000105642.15,1.0070367495888246,0.8273590437945807,0.8943139062687475
ENSG00000072041.17,1.0339798396559392,0.29879360007167105,0.4674900180039095
ENSG00000211448.13,1.0291113291744123,0.3629392221227886,0.5350492157554344
ENSG00000090382.7,0.8917317909144413,8.1804304501674e-5,8.31677095767019e-4
ENSG00000249550.7,0.9719896441486584,0.3245635484035599,0.49417598719522265
ENSG00000108375.13,0.9760126910330565,0.3804469017518778,0.5496809366155091
ENSG00000184226.15,0.9840777256460476,0.608678451679491,0.7462278468874545
ENSG00000178297.14,0.9389381296767878,0.04452669735781259,0.11734591158260199
ENSG00000147883.12,0.9922906491765697,0.7939923284001488,0.8744054660188341
ENSG00000277734.8,0.8839977049273644,2.862623833766439e-5,3.8082033022605654e-4
ENSG00000138722.10,1.0225173305872814,0.4519596702854027,0.6129886851322084
ENSG00000255690.3,0.9762676879772064,0.43298555107698944,0.5961447086394442
ENSG00000182983.15,1.0431058490216134,0.16552971034314135,0.3097566820562637
ENSG00000060656.20,1.0349421664180942,0.246507041708373,0.40882898628159214
