"gene","logFC_main","adjP_main","P_main","logFC_raw","adjP_raw","P_raw","direction_same","significant_main","significant_raw"
"G6PD",3.87572042956483,0.889971158782418,0.238797825977213,3.87572042956482,0.895910945117688,0.241780486851463,TRUE,FALSE,FALSE
"IFNGR1",2.7294581055258,0.889971158782418,0.241384440357831,2.72945810552579,0.895910945117688,0.244373519917981,TRUE,FALSE,FALSE
"STAT3",2.38408219004226,0.889971158782418,0.241915652511708,2.38408219004224,0.895910945117688,0.244906123196482,TRUE,FALSE,FALSE
"CTSW",-2.44645422382807,0.889971158782418,0.243290590855399,-2.44645422382807,0.895910945117688,0.246284175840238,TRUE,FALSE,FALSE
"CSF2",0.217170885354542,0.889971158782418,0.244786022088612,0.217170885354544,0.895910945117688,0.247860948539001,TRUE,FALSE,FALSE
"TLR9",0.263700221823811,0.889971158782418,0.247403886983131,0.26370022182381,0.895910945117688,0.250458694220056,TRUE,FALSE,FALSE
"CD5",0.344004356287605,0.889971158782418,0.247988150299575,0.344004356287606,0.895910945117688,0.251022338479996,TRUE,FALSE,FALSE
"CCL4",-2.19174150403939,0.889971158782418,0.252973903301732,-2.19174150403939,0.895910945117688,0.255987871121455,TRUE,FALSE,FALSE
"NOD2",0.377328547687018,0.889971158782418,0.253251215660418,0.377328547687018,0.895910945117688,0.256290234868976,TRUE,FALSE,FALSE
"GNLY",1.29894405930611,0.889971158782418,0.256719944823458,1.2989440593061,0.895910945117688,0.259742219013518,TRUE,FALSE,FALSE
"CXCL1",1.68766538678586,0.889971158782418,0.25995201840158,1.68766538678586,0.895910945117688,0.262979029775948,TRUE,FALSE,FALSE
"IL1B",-0.859206359976512,0.889971158782418,0.261292814654811,-0.859206359976513,0.895910945117688,0.264325549939233,TRUE,FALSE,FALSE
"EIF2B4",-0.900518742997496,0.889971158782418,0.26300475946911,-0.90051874299748,0.895910945117688,0.266039795040049,TRUE,FALSE,FALSE
"NLRC5",0.443927279282129,0.889971158782418,0.264939658682371,0.443927279282132,0.895910945117688,0.267990898084315,TRUE,FALSE,FALSE
"GZMA",-1.78378420293254,0.889971158782418,0.27740541468723,-1.78378420293255,0.895910945117688,0.280456569129133,TRUE,FALSE,FALSE
"TNF",0.200926096671267,0.889971158782418,0.27874021429749,0.200926096671266,0.895910945117688,0.281872846733111,TRUE,FALSE,FALSE
"FOXP3",0.250505272528421,0.889971158782418,0.293758815001312,0.25050527252842,0.895910945117688,0.296872312771556,TRUE,FALSE,FALSE
"TCL1A",2.68095470115074,0.889971158782418,0.295452808773231,2.68095470115074,0.895910945117688,0.298518570193275,TRUE,FALSE,FALSE
"IL15",0.234166627806934,0.889971158782418,0.300226543831155,0.234166627806933,0.895910945117688,0.303349160439077,TRUE,FALSE,FALSE
"TNFRSF17",-0.681708271244809,0.889971158782418,0.309956044559352,-0.681708271244809,0.895910945117688,0.313033018229136,TRUE,FALSE,FALSE
