"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ITGB2",0.308058921416943,7.61746998259615,1.56218901209146,0.121229031908563,0.409961623655655,-4.36930270445255
"VCAN",-0.363399024796617,8.03177247014423,-1.55476145927791,0.122988487096697,0.409961623655655,-4.3776906399936
"HLA-DPB1",0.359890740068918,7.83978202370192,1.54145499412186,0.126191069868443,0.413741212683421,-4.3926232887625
"HLA-DPA1",0.373465821802629,8.40004821778846,1.49728481031987,0.137295893230627,0.442889978163313,-4.44132130276925
"TNFRSF1B",0.239779633378149,6.02848829254808,1.47577443783703,0.142973695624592,0.453884748014578,-4.46455101117528
"HLA-DQA2",0.400343597348396,2.43529069376923,1.45227587922032,0.149383378366962,0.463279481620818,-4.48956308690499
"ADORA2A",0.216845543847827,4.17415165857692,1.44802663579709,0.150565831526766,0.463279481620818,-4.49404528793695
"LCK",0.380139293272312,3.46684182671154,1.41768142555345,0.159221493975818,0.471669461917852,-4.52569074013786
"SH2D1A",0.367248234303575,3.55288120011538,1.40526526497044,0.162871242195415,0.471669461917852,-4.538454832251
"HLA-DQA1",1.14888549144105,5.36039802176923,1.39912232798956,0.164700469347802,0.471669461917852,-4.54473031609133
"ICAM1",0.2712935054659,8.21776894465385,1.39767288879826,0.165134358694098,0.471669461917852,-4.54620720562344
"CD40",0.255157082939355,5.28869859034615,1.39182484710258,0.166893835455658,0.471669461917852,-4.55215116346699
"CXCL11",0.494049635047077,3.29497448821154,1.39001032253909,0.167442658980837,0.471669461917852,-4.55399061322496
"ERCC3",-0.107495667030142,7.00969184324038,-1.37988175068654,0.170531448261306,0.473698467392515,-4.56421622080421
"HLA-DRA",0.33396830736157,10.6689217809135,1.36611886779827,0.174797685685456,0.47889776900125,-4.57799643526347
"HLA-DMB",0.293188275080219,5.55911140151923,1.35272732492296,0.179025900048905,0.480843845281531,-4.59127803551318
"CD38",0.337778306126547,4.84689481217308,1.3486875331884,0.180316441980574,0.480843845281531,-4.59526007999255
"IRF7",0.237354044429748,5.12669769210577,1.3327132339861,0.185488255192682,0.488126987349163,-4.61089431055568
"NOD2",0.269083435715249,3.50968272784615,1.24921134006868,0.214343816127372,0.54277157782101,-4.68970637874656
"STAT2",0.158711367434266,6.98891608744231,1.24716863056757,0.21508872421964,0.54277157782101,-4.69157290392048
"CD86",0.223715928445573,3.40412864627885,1.24173045707844,0.217081064690846,0.54277157782101,-4.69652768575132
"CD4",0.242624256733327,5.76544434154808,1.24165546941148,0.217108631128404,0.54277157782101,-4.69659586203508
"TLR4",0.211913644656114,4.51312054490385,1.23272043398792,0.220411571481257,0.54391378015719,-4.70469088761758
"CSF1",0.202215218382292,5.51745083322115,1.22577372367158,0.223004649864448,0.54391378015719,-4.71094556391103
"ICOS",0.281189008566475,2.57082155369231,1.21275394403839,0.227924189594914,0.549214914686541,-4.72257644631902
"OAS2",0.323039822040673,6.01504372763462,1.20390251762181,0.231313196465929,0.550745705871259,-4.73041517171859
"IL32",0.276691130344627,6.23717770602885,1.18112531284486,0.240200576490091,0.559359380122775,-4.75033129841595
"G6PD",0.111609041983043,6.92012566695192,1.17867313357682,0.241171746791031,0.559359380122775,-4.75245352601234
"IL18R1",0.24355931339397,3.01948014506731,1.1732704554782,0.243321330353407,0.559359380122775,-4.75711419394563
"CTLA4",0.326055467618449,4.87657329827885,1.16584481925676,0.246298026712625,0.559768242528694,-4.76348617469538
"C7",-0.484676630364224,5.33346812950962,-1.15135433721004,0.252181126475698,0.563083193337107,-4.7758077376027
"CSF2",0.257624854421088,3.46677615684615,1.14841275203625,0.253387437001698,0.563083193337107,-4.77829080318064
"ZAP70",0.298132941550277,4.92229755046154,1.12939683258442,0.261283993579505,0.5691335663797,-4.79419405461156
"GUSB",0.127802831278335,7.12796151796154,1.12816493234579,0.261801440534662,0.5691335663797,-4.79521542776169
"TNF",0.248901461239163,4.16873783663462,1.10688470894734,0.270853465367526,0.581672302841724,-4.81268819182528
"CXCL8",-0.459466272924296,5.70789868651923,-1.10101992588531,0.27338598233561,0.581672302841724,-4.81744686180858
"TLR2",0.188322441145755,5.80015855790385,1.09126429689128,0.277634915286125,0.584494558497104,-4.82530814553531
"ITGB3",-0.359085184675335,5.15773997097115,-1.07038145257622,0.286882846358235,0.597672596579657,-4.84190730436296
"IRF9",0.140830029492651,6.42459207589423,1.05311570596141,0.294686567323904,0.607601169740009,-4.85539565170296
"IRF2",0.107594193916376,5.25271095607692,1.03496333653548,0.303045273772077,0.615651566943161,-4.86934626299793
"CD70",0.222298205545383,2.34400115316346,1.03130819542474,0.304747525636865,0.615651566943161,-4.87212675181803
"CD27",0.296521222966474,4.44293891992308,0.983956015457558,0.327381379765497,0.650915254030554,-4.90728003849313
"IRF8",0.232334086443307,5.70660204208654,0.980945566146326,0.328856853007388,0.650915254030554,-4.90946038875725
"CCL4",0.228184291372501,4.94615080759615,0.973604556236508,0.332473108904068,0.650915254030554,-4.91474981800156
"TNFSF13",0.173446969529564,4.51835746906731,0.964458215698934,0.337014997388119,0.650915254030554,-4.92128569368575
"CD79B",0.242498468399619,3.02280402325962,0.9560623221084,0.341219677676927,0.650915254030554,-4.92723219361459
