"gene","logFC_GSE78220","P_GSE78220","adjP_GSE78220","logFC_GSE215868","P_GSE215868","adjP_GSE215868","logFC_GSE211645","P_GSE211645","adjP_GSE211645","n_cohorts_up","n_cohorts_down","n_cohorts_tested","direction_concordant","in_discovery_top50","in_discovery_top100"
"IL22RA1",0.329303501608543,0.430355474678987,0.99603003143199,0.0759605072881322,0.792873216799296,0.921602238430357,-0.526916666666675,0.488170818234653,0.564359327438905,2,1,3,"Discordante",FALSE,FALSE
"TNFRSF10C",0.327943714956872,0.43139689056005,0.99603003143199,-0.188101040897932,0.342324138309865,0.650915254030554,0.33632142857142,0.617236295247532,0.689649491896684,2,1,3,"Discordante",FALSE,FALSE
"IL1R2",0.402124001811949,0.433148742290888,0.99603003143199,-0.0191423604621535,0.937507762705921,0.976570586152002,0.375952380952372,0.571926855280101,0.646245034214804,2,1,3,"Discordante",FALSE,FALSE
"CXCL10",-0.661318736646396,0.433661754638891,0.99603003143199,0.617319306637655,0.0946897125762272,0.402934947132882,0.618702380952376,0.332444351784645,0.415555439730806,2,1,3,"Discordante",FALSE,FALSE
"C1QA",-0.477656989975581,0.436588920958027,0.99603003143199,0.401267070114484,0.0700493802329295,0.378645298556376,1.47008333333332,0.00872503891959086,0.0260448922972861,2,1,3,"Discordante",FALSE,FALSE
"TNFAIP3",0.317913983517844,0.440725141872899,0.99603003143199,0.0970557629924613,0.67896970467125,0.867693959962354,0.953452380952372,0.00434668457292283,0.016098831751566,3,0,3,"Up en todas",FALSE,FALSE
"CXCL12",-0.394958287883276,0.441652064154452,0.99603003143199,-0.00113115666817798,0.996498149958308,0.996498149958308,0.73297619047618,0.172627359566674,0.246610513666677,1,2,3,"Discordante",FALSE,FALSE
"CXCL1",0.460653923630929,0.450152990043635,0.99603003143199,-0.0410085558007607,0.914435942050577,0.976570586152002,1.36341666666666,0.0340225189078161,0.0716263555954023,2,1,3,"Discordante",FALSE,FALSE
"CCL5",-0.523890441457817,0.450543975345967,0.99603003143199,0.652228391496791,0.0227362280163049,0.250684619374165,1.97348809523808,0.00138829479641574,0.00756256336619121,2,1,3,"Discordante",FALSE,FALSE
"HLA-DQA1",0.624799862462731,0.451624005534352,0.99603003143199,1.14888549144105,0.164700469347802,0.471669461917852,2.57272619047617,4.59826648366921e-05,0.00277352467666507,3,0,3,"Up en todas",FALSE,FALSE
"TLR2",-0.315440762990652,0.456306686172975,0.99603003143199,0.188322441145755,0.277634915286125,0.584494558497104,1.12383333333332,0.00351901561245517,0.0140760624498207,2,1,3,"Discordante",FALSE,FALSE
"ABCF1",0.212270287136922,0.460386647824509,0.99603003143199,-0.054059985841441,0.575407384707006,0.858816992100009,-0.438726190476212,0.026166581185934,0.0591451272121964,1,2,3,"Discordante",FALSE,FALSE
"IDO1",-0.373691185736762,0.475982469084121,0.99603003143199,0.927244456425983,0.00152401248471555,0.14445713149536,1.04027380952379,0.101049168811905,0.161678670099048,2,1,3,"Discordante",FALSE,FALSE
"ADORA2A",-0.253400587342541,0.480930128465473,0.99603003143199,0.216845543847827,0.150565831526766,0.463279481620818,0.898011904761898,0.0482559897851099,0.0921685000442648,2,1,3,"Discordante",FALSE,FALSE
"CCL4",-0.401345977750539,0.484404683718061,0.99603003143199,0.228184291372501,0.332473108904068,0.650915254030554,2.0445476190476,0.00109385338360649,0.00711400493336619,2,1,3,"Discordante",FALSE,FALSE
"MAGEA1",0.523897866088694,0.501009581305185,0.99603003143199,0.25155220197363,0.478619384586671,0.765791015338674,-1.33227380952381,0.106565117523376,0.167819082713979,2,1,3,"Discordante",FALSE,FALSE
"HLA-DPB1",-0.280558170550243,0.502891621532371,0.99603003143199,0.359890740068918,0.126191069868443,0.413741212683421,1.80977380952378,0.000129214995202957,0.00277352467666507,2,1,3,"Discordante",FALSE,FALSE
"CTLA4",-0.349366435048032,0.509748646698574,0.99603003143199,0.326055467618449,0.246298026712625,0.559768242528694,1.5985238095238,0.00119415219403168,0.00711400493336619,2,1,3,"Discordante",FALSE,FALSE
"CD38",-0.340001990633262,0.511081081378556,0.99603003143199,0.337778306126547,0.180316441980574,0.480843845281531,0.999940476190469,0.0467474217226794,0.0907716926653968,2,1,3,"Discordante",FALSE,FALSE
"SELE",0.29792173899105,0.519956561707439,0.99603003143199,0.0144294613559293,0.952549015155649,0.985579042456788,-0.277714285714294,0.637843221750399,0.70092661730813,2,1,3,"Discordante",FALSE,FALSE
"IL24",0.426612028595751,0.522338866818219,0.99603003143199,-0.0841286948361601,0.797185936242258,0.921602238430357,1.49341666666666,0.0518949918259789,0.0969999847214559,2,1,3,"Discordante",FALSE,FALSE
"MAGEC1",0.485042819105529,0.525433389075533,0.99603003143199,0.23528702277401,0.588220120355639,0.865029588758292,-1.36225000000001,0.0595407262174946,0.104457414416657,2,1,3,"Discordante",FALSE,FALSE
"MS4A1",0.441184020339921,0.525555074818993,0.99603003143199,-0.0496826987962367,0.899561230320091,0.976570586152002,1.40745238095237,0.0487933539471218,0.0921685000442648,2,1,3,"Discordante",FALSE,FALSE
