"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","direction"
"CD40",-0.178134865688175,19.9584166666667,-1.55806165444807,0.120088887771478,0.658172808721282,-4.34565167652007,"Down_in_responders"
"GYPB",0.280954029354749,18.76625,1.55302268064583,0.121287975263913,0.658172808721282,-4.34924554220597,"Up_in_responders"
"DLC1",0.218630573248406,23.8093055555556,1.54094961469502,0.124199171254599,0.658172808721282,-4.35780981340852,"Up_in_responders"
"ITGAL",-0.156510661866519,15.0645555555556,-1.53142399436474,0.126534503535434,0.658172808721282,-4.36452077253188,"Down_in_responders"
"CIITA",-0.168054555524785,16.7189722222222,-1.50158995281513,0.134071255519525,0.658172808721282,-4.38527531923864,"Down_in_responders"
"CD8A",-0.240797563001938,16.2513333333333,-1.48985188765254,0.137130398285857,0.658172808721282,-4.39333130413139,"Down_in_responders"
"LGALS3",0.175837718083633,17.6125,1.47825826588598,0.140204692339571,0.658172808721282,-4.40122725187495,"Up_in_responders"
"SIAH2",0.1969343672113,14.2360555555556,1.47795083463484,0.140286932963706,0.658172808721282,-4.40143580686052,"Up_in_responders"
"NBEA",-0.257351149266131,22.62925,-1.4774573621181,0.140419019196652,0.658172808721282,-4.40177047935614,"Down_in_responders"
"CXCR3",-0.179800609249516,18.069,-1.4721264355025,0.141852061312223,0.658172808721282,-4.40537891306649,"Down_in_responders"
"ANLN",0.176728053170867,22.2830277777778,1.4602957059451,0.145072630591588,0.658172808721282,-4.41334122894392,"Up_in_responders"
"IL15",-0.18063417335918,21.4399444444444,-1.45661708993557,0.146085404410709,0.658172808721282,-4.41580415186846,"Down_in_responders"
"FAIM3",-0.190710329548601,16.8004722222222,-1.43599253319053,0.151864531695378,0.658172808721282,-4.42949977311466,"Down_in_responders"
"TLR4",-0.147720852949322,15.0768888888889,-1.4333180204499,0.152626576410529,0.658172808721282,-4.43126171300504,"Down_in_responders"
"CD19",-0.274447521462199,19.8089444444444,-1.41930088641638,0.156668318207782,0.658172808721282,-4.44044325092908,"Down_in_responders"
"ADAM17",-0.137700083079479,18.3185833333333,-1.41776947615645,0.157114782120036,0.658172808721282,-4.44144098465705,"Down_in_responders"
"PLA2G7",-0.187374688451953,19.2903888888889,-1.4064808528552,0.160435769884516,0.658172808721282,-4.44876299433741,"Down_in_responders"
"NUCKS1",-0.158665189698145,17.661,-1.40462914976254,0.160985569636208,0.658172808721282,-4.44995854847053,"Down_in_responders"
"CTLA4SOL",-0.0703060094156744,25.3795833333333,-1.39714486641715,0.163222340567471,0.658172808721282,-4.45477500139571,"Down_in_responders"
"TXNRD1",-0.121394350595403,16.9743611111111,-1.38473541324594,0.166982792831211,0.658172808721282,-4.46270523239337,"Down_in_responders"
"TLK2",-0.120141235114925,15.6578333333333,-1.37780618564978,0.169110816691403,0.658172808721282,-4.46710305293259,"Down_in_responders"
"INPP4B",-0.185816780108346,17.9087465181059,-1.35494388935756,0.176279269178389,0.658172808721282,-4.48145939113219,"Down_in_responders"
"TMOD1",0.192186374965383,16.4378055555556,1.34753239370986,0.17864818833692,0.658172808721282,-4.48606243327605,"Up_in_responders"
"SLC4A1",0.215879257823318,14.4934444444444,1.32879903523611,0.18474786374312,0.658172808721282,-4.49758671221764,"Up_in_responders"
"PBX1",0.191147881473275,20.1719722222222,1.32072185648678,0.187425069678053,0.658172808721282,-4.50250654941701,"Up_in_responders"
"MSH2",-0.146910828025478,18.5581388888889,-1.31339746605761,0.189877530316331,0.658172808721282,-4.50694230760884,"Down_in_responders"
