"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","direction"
"GO:0070374","positive regulation of ERK1 and ERK2 cascade","9/290","131/11800",0.0687022900763359,2.79547249276125,3.28005798747126,0.00500137792527954,0.0508499717765803,0.0422497275175532,"PDGFRB/INHBA/PDGFD/NRP1/PDGFB/PDGFRA/NPNT/GAS6/ACKR3",9,"Down en respondedores"
"GO:0003170","heart valve development","6/290","65/11800",0.0923076923076923,3.75596816976127,3.53649677522563,0.00512766714824473,0.0519700352792226,0.0431803549325872,"ELN/HEYL/GJA5/CDH11/STRA6/TIE1",6,"Down en respondedores"
"GO:0032689","negative regulation of type II interferon production","4/290","29/11800",0.137931034482759,5.61236623067776,3.94729914560684,0.00522757089330338,0.0528164921288928,0.0438836507261634,"AXL/IL10/INHBA/GAS6",4,"Down en respondedores"
"GO:0007350","blastoderm segmentation","3/290","15/11800",0.2,8.13793103448276,4.39073393869851,0.00536820670800205,0.0534004019132426,0.0443688039803678,"NRP1/WNT5A/PLD6",3,"Down en respondedores"
"GO:0008211","glucocorticoid metabolic process","3/290","15/11800",0.2,8.13793103448276,4.39073393869851,0.00536820670800205,0.0534004019132426,0.0443688039803678,"DKK3/GAL/CACNA1H",3,"Down en respondedores"
"GO:0035728","response to hepatocyte growth factor","3/290","15/11800",0.2,8.13793103448276,4.39073393869851,0.00536820670800205,0.0534004019132426,0.0443688039803678,"ADAMTS12/IL10/NRP1",3,"Down en respondedores"
"GO:0042730","fibrinolysis","3/290","15/11800",0.2,8.13793103448276,4.39073393869851,0.00536820670800205,0.0534004019132426,0.0443688039803678,"FAP/PLAUR/SERPINE1",3,"Down en respondedores"
"GO:0070206","protein trimerization","3/290","15/11800",0.2,8.13793103448276,4.39073393869851,0.00536820670800205,0.0534004019132426,0.0443688039803678,"PXDN/MLKL/SLC1A5",3,"Down en respondedores"
"GO:0051785","positive regulation of nuclear division","5/290","47/11800",0.106382978723404,4.32868672046955,3.62937147876071,0.00571353530086963,0.0566606900760086,0.0470776803414165,"PDGFRB/PDGFB/WNT5A/MSX1/RGCC",5,"Down en respondedores"
"GO:0060317","cardiac epithelial to mesenchymal transition","4/290","30/11800",0.133333333333333,5.42528735632184,3.85210228576164,0.00591715681702347,0.0584999890222903,0.0486058990717072,"HEYL/WNT2/TMEM100/MSX1",4,"Down en respondedores"
"GO:0061333","renal tubule morphogenesis","6/290","67/11800",0.0895522388059701,3.64384971693258,3.44471716260823,0.00594845397722205,0.058629563206687,0.0487135584035181,"GPC3/COL4A1/NPNT/OSR1/HOXA11/IRX1",6,"Down en respondedores"
"GO:0051701","biological process involved in interaction with host","9/290","135/11800",0.0666666666666667,2.71264367816092,3.17669461023174,0.00607622188294479,0.0597062900266191,0.0496081786592155,"FBLN1/AXL/ITGA5/NRP1/GAS6/TNFRSF4/LGALS1/SLC1A5/LRRC15",9,"Down en respondedores"
"GO:0035270","endocrine system development","7/290","89/11800",0.0786516853932584,3.20030995738086,3.30724078213072,0.00623217800853903,0.0606987650393483,0.050432796596862,"DKK3/EDNRA/CDKN1C/PDGFRA/WNT5A/ALDH1A2/STRA6",7,"Down en respondedores"
